	Weight	SampleOrder	Subject
R3_1	0.2035	1	R3
D3_1	0.4984	1	D3
R3_2	0.2834	2	R3
R3_3	0.1518	3	R3
R9_1	0.2205	1	R9
D9_1	0.5066	1	D9
R9_1B	0.2376	2	R9
D9_2	0.5006	1	D92
R9_2	0.2905	3	R9
R9_3	0.0947	4	R9
R9_4	0.1287	5	R9
R11_1	0.1845	1	R11
